"Date Heure, UTC",T_2D,T_4D,T_4G,T_7D,2D_Heating_power_[Wh],4D_Heating_power_[Wh],4G_Heating_power_[Wh],7D_Heating_power_[Wh]
2021-09-28 04:00:00,22.445500000000003,22.647,23.131,22.917,0.0,0.0,0.0,0.0
2021-09-28 05:00:00,22.4035,22.539250000000003,23.069000000000003,22.907,0.0,0.0,0.0,0.0
2021-09-28 06:00:00,22.4255,22.31175,23.025,22.781,0.0,0.0,0.0,0.0
2021-09-28 07:00:00,22.647,22.5775,23.3035,22.921,0.0,0.0,0.0,0.0
2021-09-28 08:00:00,22.445,22.4675,23.43583333333333,22.845,0.0,0.0,0.0,0.0
2021-09-28 09:00:00,22.381416666666667,22.381666666666668,23.35158333333333,22.843,0.0,0.0,0.0,0.0
2021-09-28 10:00:00,22.513,22.38375,23.482166666666668,22.934999999999995,0.0,0.0,0.0,0.0
2021-09-28 11:00:00,22.479,22.3815,23.5705,22.957,0.0,0.0,0.0,0.0
2021-09-28 12:00:00,22.419083333333337,22.3555,23.6145,22.913,0.0,0.0,0.0,0.0
2021-09-28 13:00:00,22.353583333333333,22.308,23.582416666666667,22.873,0.0,0.0,0.0,0.0
2021-09-28 14:00:00,22.312,22.272,23.689083333333333,22.821,0.0,0.0,0.0,0.0
2021-09-28 15:00:00,22.291916666666665,22.295666666666666,23.63508333333333,22.721000000000004,0.0,0.0,0.0,0.0
2021-09-28 16:00:00,22.262,22.387500000000003,23.5345,22.719,0.0,0.0,0.0,0.0
2021-09-28 17:00:00,22.242,22.453166666666668,23.4785,22.741,0.0,0.0,0.0,0.0
2021-09-28 18:00:00,22.230000000000004,22.539,23.52883333333333,22.753,0.0,0.0,0.0,0.0
2021-09-28 19:00:00,22.23783333333333,22.597,23.569000000000003,22.745,0.0,0.0,0.0,0.0
2021-09-28 20:00:00,22.219666666666665,22.641,23.553,22.723,0.0,0.0,0.0,0.0
2021-09-28 21:00:00,22.138,22.643,23.539,22.641,0.0,0.0,0.0,0.0
2021-09-28 22:00:00,22.078416666666666,22.579,23.37825,22.597250000000003,0.0,0.0,0.0,0.0
2021-09-28 23:00:00,22.030500000000004,22.52925,23.073083333333333,22.5555,0.0,0.0,0.0,0.0
2021-09-29 00:00:00,22.0025,22.463500000000003,22.959000000000003,22.5255,0.0,0.0,0.0,0.0
2021-09-29 01:00:00,21.9645,22.4055,22.869,22.4875,0.0,0.0,0.0,0.0
2021-09-29 02:00:00,21.93475,22.3635,22.805,22.4495,0.0,0.0,0.0,0.0
2021-09-29 03:00:00,21.909,22.303500000000003,22.739000000000004,22.42375,0.0,0.0,0.0,0.0
2021-09-29 04:00:00,21.885166666666667,22.2655,22.685,22.376,0.0,0.0,0.0,0.0
2021-09-29 05:00:00,21.8615,22.233666666666664,22.795,22.336,0.0,0.0,0.0,0.0
2021-09-29 06:00:00,21.903166666666667,22.27583333333333,23.03575,22.311666666666667,0.0,0.0,0.0,0.0
2021-09-29 07:00:00,22.0485,22.41325,23.26225,22.3115,0.0,0.0,0.0,0.0
2021-09-29 08:00:00,22.198,22.911,23.634333333333338,22.425083333333333,0.0,0.0,0.0,0.0
2021-09-29 09:00:00,22.19,23.111,23.720666666666663,22.501,0.0,0.0,0.0,0.0
2021-09-29 10:00:00,22.216,22.905,23.515,22.507,0.0,0.0,0.0,0.0
2021-09-29 11:00:00,22.15833333333333,22.783,23.428583333333336,22.499,0.0,0.0,0.0,0.0
2021-09-29 12:00:00,22.0745,22.669,23.364000000000004,22.437083333333334,0.0,0.0,0.0,0.0
2021-09-29 13:00:00,21.97908333333333,22.581000000000003,23.364083333333333,22.43125,0.0,0.0,0.0,0.0
2021-09-29 14:00:00,22.0505,22.499,23.50283333333333,22.44333333333333,0.0,0.0,0.0,0.0
2021-09-29 15:00:00,22.068416666666668,22.529000000000003,23.56308333333333,22.429500000000004,0.0,0.0,0.0,0.0
2021-09-29 16:00:00,22.140166666666666,22.569000000000003,23.547,22.4615,0.0,0.0,0.0,0.0
2021-09-29 17:00:00,22.0905,22.51108333333333,23.499,22.3815,0.0,0.0,0.0,0.0
2021-09-29 18:00:00,22.006500000000003,22.4135,23.435,22.381500000000003,0.0,0.0,0.0,0.0
2021-09-29 19:00:00,21.94058333333333,22.293916666666668,23.38308333333333,22.341500000000003,0.0,0.0,0.0,0.0
2021-09-29 20:00:00,21.833166666666664,22.176,23.325000000000003,22.28175,0.0,0.0,0.0,0.0
2021-09-29 21:00:00,21.7475,22.108,23.208583333333337,22.209916666666665,0.0,0.0,0.0,0.0
2021-09-29 22:00:00,21.689833333333333,21.99875,22.9035,22.15,0.0,0.0,0.0,0.0
2021-09-29 23:00:00,21.632,21.87533333333333,22.7235,22.11625,0.0,0.0,0.0,0.0
2021-09-30 00:00:00,21.58458333333333,21.74566666666667,22.5955,22.0665,0.0,0.0,0.0,0.0
2021-09-30 01:00:00,21.523,21.63608333333333,22.5535,22.00058333333333,0.0,0.0,0.0,0.0
2021-09-30 02:00:00,21.461166666666664,21.538833333333333,22.5175,21.941500000000005,0.0,0.0,0.0,0.0
2021-09-30 03:00:00,21.4035,21.465000000000003,22.3955,21.881500000000003,0.0,0.0,0.0,0.0
2021-09-30 04:00:00,21.329666666666668,21.38158333333333,22.3095,21.81366666666667,0.0,0.0,0.0,0.0
2021-09-30 05:00:00,21.28833333333333,21.284166666666664,22.237916666666667,21.69625,0.0,0.0,0.0,0.0
2021-09-30 06:00:00,21.274083333333333,21.26033333333333,22.222,21.5705,0.0,0.0,0.0,0.0
2021-09-30 07:00:00,21.421416666666666,21.80766666666667,22.61808333333333,21.78558333333333,0.0,0.0,0.0,0.0
2021-09-30 08:00:00,21.45133333333333,22.124,23.138916666666667,21.8135,0.0,0.0,0.0,0.0
2021-09-30 09:00:00,21.38175,21.929166666666667,23.203000000000003,21.72975,0.0,0.0,0.0,0.0
2021-09-30 10:00:00,21.42525,21.71208333333333,23.03416666666667,21.704,0.0,0.0,0.0,0.0
2021-09-30 11:00:00,21.433166666666665,21.5625,22.95425,21.682,0.0,0.0,0.0,0.0
2021-09-30 12:00:00,21.4115,21.536916666666663,22.9885,21.67,0.0,0.0,0.0,0.0
2021-09-30 13:00:00,21.41333333333333,21.5405,23.024833333333333,21.694,0.0,0.0,0.0,0.0
2021-09-30 14:00:00,21.50883333333333,21.5505,23.074416666666664,21.724,0.0,0.0,0.0,0.0
2021-09-30 15:00:00,21.64825,21.582500000000003,23.1545,21.764000000000003,0.0,0.0,0.0,0.0
2021-09-30 16:00:00,21.77583333333333,21.708,23.248583333333336,21.89708333333333,0.0,0.0,0.0,0.0
2021-09-30 17:00:00,21.7595,21.81725,23.294916666666666,22.10033333333333,0.0,0.0,0.0,0.0
2021-09-30 18:00:00,21.69591666666667,21.835,23.237,22.0205,0.0,0.0,0.0,0.0
2021-09-30 19:00:00,21.638,21.8075,23.17075,21.950916666666664,0.0,0.0,0.0,0.0
2021-09-30 20:00:00,21.530583333333333,21.7735,22.947916666666664,21.889333333333333,0.0,0.0,0.0,0.0
2021-09-30 21:00:00,21.445083333333333,21.717666666666663,22.6335,21.807583333333334,0.0,0.0,0.0,0.0
2021-09-30 22:00:00,21.37375,21.6105,22.472,21.74,0.0,0.0,0.0,0.0
2021-09-30 23:00:00,21.304,21.51858333333333,22.372,21.68416666666667,0.0,0.0,0.0,0.0
2021-10-01 00:00:00,21.24425,21.4135,22.309916666666663,21.6425,0.0,0.0,0.0,0.0
2021-10-01 01:00:00,21.1885,21.31191666666667,22.2935,21.594500000000004,0.0,0.0,0.0,0.0
2021-10-01 02:00:00,21.125083333333333,21.2225,22.194000000000003,21.525,0.0,0.0,0.0,0.0
2021-10-01 03:00:00,21.0755,21.127,22.0945,21.461,0.0,0.0,0.0,0.0
2021-10-01 04:00:00,21.0255,21.029666666666664,22.0085,21.413416666666663,0.0,0.0,0.0,0.0
2021-10-01 05:00:00,20.98375,20.769333333333336,22.1165,21.2425,0.0,0.0,0.0,0.0
2021-10-01 06:00:00,20.971916666666665,20.44975,22.4125,21.01375,0.0,0.0,0.0,0.0
2021-10-01 07:00:00,21.18875,20.73166666666667,22.612666666666662,21.186666666666667,0.0,0.0,0.0,0.0
2021-10-01 08:00:00,21.18475,20.854916666666668,22.66058333333333,21.232416666666666,0.0,0.0,0.0,0.0
2021-10-01 09:00:00,21.145,20.88475,22.524500000000003,21.292250000000003,0.0,0.0,0.0,0.0
2021-10-01 10:00:00,21.2405,20.9205,22.4805,21.3835,0.0,0.0,0.0,0.0
2021-10-01 11:00:00,21.2445,21.01758333333333,22.4745,21.427166666666665,0.0,0.0,0.0,0.0
2021-10-01 12:00:00,21.220416666666665,21.075416666666666,22.55225,21.415333333333336,0.0,0.0,0.0,0.0
2021-10-01 13:00:00,21.135,21.0595,22.62625,21.39325,0.0,0.0,0.0,0.0
2021-10-01 14:00:00,21.079,21.0395,22.68233333333333,21.42941666666667,0.0,0.0,0.0,0.0
2021-10-01 15:00:00,21.146833333333333,21.107,22.738,21.518833333333333,0.0,0.0,0.0,0.0
2021-10-01 16:00:00,21.18475,21.204416666666667,22.78433333333333,21.469,0.0,0.0,0.0,0.0
2021-10-01 17:00:00,21.2605,21.238,22.738,21.421083333333332,0.0,0.0,0.0,0.0
2021-10-01 18:00:00,21.256500000000003,21.206416666666662,22.828166666666668,21.415,0.0,0.0,0.0,0.0
2021-10-01 19:00:00,21.2545,21.113333333333333,22.80216666666667,21.423166666666667,0.0,0.0,0.0,0.0
2021-10-01 20:00:00,21.188416666666665,21.0555,22.7985,21.44908333333333,0.0,0.0,0.0,0.0
2021-10-01 21:00:00,21.153,21.0415,22.734166666666667,21.427,0.0,0.0,0.0,0.0
2021-10-01 22:00:00,21.143,21.139000000000003,22.509916666666665,21.445,0.0,0.0,0.0,0.0
2021-10-01 23:00:00,21.132916666666667,21.2025,22.366,21.43333333333333,0.0,0.0,0.0,0.0
2021-10-02 00:00:00,21.12316666666667,21.19258333333333,22.34175,21.4575,0.0,0.0,0.0,0.0
2021-10-02 01:00:00,21.09925,21.1905,22.238,21.4515,0.0,0.0,0.0,0.0
2021-10-02 02:00:00,21.085083333333333,21.1745,22.214,21.4335,0.0,0.0,0.0,0.0
2021-10-02 03:00:00,21.12291666666667,21.160666666666664,22.182,21.4275,0.0,0.0,0.0,0.0
2021-10-02 04:00:00,21.13083333333333,21.150666666666663,22.124250000000004,21.4155,0.0,0.0,0.0,0.0
2021-10-02 05:00:00,21.097166666666663,21.139,22.0905,21.4015,0.0,0.0,0.0,0.0
2021-10-02 06:00:00,21.09525,21.144666666666662,22.294,21.419416666666663,0.0,0.0,0.0,0.0
2021-10-02 07:00:00,21.089,21.16858333333333,22.478,21.39133333333333,0.0,0.0,0.0,0.0
2021-10-02 08:00:00,21.071416666666668,21.174666666666667,22.302,21.361666666666665,0.0,0.0,0.0,0.0
2021-10-02 09:00:00,21.2085,21.47116666666667,22.342,21.505000000000003,0.0,0.0,0.0,0.0
2021-10-02 10:00:00,21.324,21.534916666666668,22.579833333333333,21.5925,0.0,0.0,0.0,0.0
2021-10-02 11:00:00,21.391583333333333,21.550666666666668,22.7495,21.698,0.0,0.0,0.0,0.0
2021-10-02 12:00:00,21.59658333333333,21.85516666666667,22.7215,21.73391666666667,0.0,0.0,0.0,0.0
2021-10-02 13:00:00,21.8315,21.66183333333333,22.6695,21.703666666666663,0.0,0.0,0.0,0.0
2021-10-02 14:00:00,21.93733333333333,21.552666666666667,22.816000000000003,21.672,0.0,0.0,0.0,0.0
2021-10-02 15:00:00,21.80766666666667,21.554583333333333,22.9305,21.58641666666667,0.0,0.0,0.0,0.0
2021-10-02 16:00:00,21.63825,21.654416666666663,22.9445,21.519,0.0,0.0,0.0,0.0
2021-10-02 17:00:00,21.6125,21.7775,22.978583333333333,21.61441666666667,0.0,0.0,0.0,0.0
2021-10-02 18:00:00,21.5585,21.7695,23.024916666666662,21.79175,0.0,0.0,0.0,0.0
2021-10-02 19:00:00,21.469,21.8155,23.05425,21.8995,0.0,0.0,0.0,0.0
2021-10-02 20:00:00,21.415,21.815416666666664,23.052,21.95733333333333,0.0,0.0,0.0,0.0
2021-10-02 21:00:00,21.393333333333334,21.855,23.04233333333333,21.94108333333333,0.0,0.0,0.0,0.0
2021-10-02 22:00:00,21.429,21.855,22.95608333333333,21.783583333333333,0.0,0.0,0.0,0.0
2021-10-02 23:00:00,21.443416666666668,21.8255,22.651666666666667,21.74783333333333,0.0,0.0,0.0,0.0
2021-10-03 00:00:00,21.4495,21.8215,22.5315,21.7495,0.0,0.0,0.0,0.0
2021-10-03 01:00:00,21.469,21.8155,22.5415,21.7615,0.0,0.0,0.0,0.0
2021-10-03 02:00:00,21.471,21.843083333333333,22.4795,21.76166666666667,0.0,0.0,0.0,0.0
2021-10-03 03:00:00,21.479,21.861,22.4075,21.75,0.0,0.0,0.0,0.0
2021-10-03 04:00:00,21.471,21.825333333333333,22.3855,21.738,0.0,0.0,0.0,0.0
2021-10-03 05:00:00,21.477,21.7935,22.3615,21.730000000000004,0.0,0.0,0.0,0.0
2021-10-03 06:00:00,21.43925,21.762,22.5755,21.712,0.0,0.0,0.0,0.0
2021-10-03 07:00:00,21.46308333333333,21.722,22.838083333333337,21.76158333333333,0.0,0.0,0.0,0.0
2021-10-03 08:00:00,21.441333333333333,21.606416666666668,22.900166666666664,21.698,0.0,0.0,0.0,0.0
2021-10-03 09:00:00,21.481166666666667,21.74775,22.7415,21.606416666666668,0.0,0.0,0.0,0.0
2021-10-03 10:00:00,21.4135,21.2705,22.95975,21.52658333333333,0.0,0.0,0.0,0.0
2021-10-03 11:00:00,21.4175,21.17683333333333,22.981583333333333,21.507,0.0,0.0,0.0,0.0
2021-10-03 12:00:00,21.407250000000005,21.131166666666665,22.9535,21.497,0.0,0.0,0.0,0.0
2021-10-03 13:00:00,21.407083333333336,21.20658333333333,22.97175,21.491,0.0,0.0,0.0,0.0
2021-10-03 14:00:00,21.344,21.286,22.976000000000003,21.447,0.0,0.0,0.0,0.0
2021-10-03 15:00:00,21.351916666666668,21.62625,22.974,21.419083333333333,0.0,0.0,0.0,0.0
2021-10-03 16:00:00,21.447000000000003,21.4275,22.966,21.401250000000005,0.0,0.0,0.0,0.0
2021-10-03 17:00:00,21.49483333333333,21.29208333333333,22.94608333333333,21.3795,0.0,0.0,0.0,0.0
2021-10-03 18:00:00,21.443,21.303833333333337,22.8945,21.449,0.0,0.0,0.0,0.0
2021-10-03 19:00:00,21.379416666666668,21.324,22.8645,21.459333333333333,0.0,0.0,0.0,0.0
2021-10-03 20:00:00,21.299916666666668,21.318,22.796000000000003,21.425416666666667,0.0,0.0,0.0,0.0
2021-10-03 21:00:00,21.2265,21.306,22.518,21.3815,0.0,0.0,0.0,0.0
2021-10-03 22:00:00,21.169,21.25408333333333,22.358,21.357916666666668,0.0,0.0,0.0,0.0
2021-10-03 23:00:00,21.115,21.186750000000004,22.242,21.332,0.0,0.0,0.0,0.0
2021-10-04 00:00:00,21.073166666666665,21.095333333333336,22.180000000000003,21.29625,0.0,0.0,0.0,0.0
2021-10-04 01:00:00,21.023666666666667,21.00958333333333,22.144416666666665,21.2445,0.0,0.0,0.0,0.0
2021-10-04 02:00:00,20.982,20.954083333333333,22.0945,21.1945,0.0,0.0,0.0,0.0
2021-10-04 03:00:00,20.938333333333333,20.8985,21.9865,21.147,0.0,0.0,0.0,0.0
2021-10-04 04:00:00,20.890500000000003,20.856500000000004,21.922916666666666,21.099083333333333,0.0,0.0,0.0,0.0
2021-10-04 05:00:00,20.868583333333333,20.8725,21.979,20.974,0.0,0.0,0.0,0.0
2021-10-04 06:00:00,20.8805,20.89858333333333,22.10258333333333,20.904333333333334,0.0,0.0,0.0,0.0
2021-10-04 07:00:00,21.194916666666664,21.53675,22.598416666666665,21.0335,0.0,0.0,2000.0,0.0
2021-10-04 08:00:00,21.368,21.95883333333333,22.936666666666667,21.0975,0.0,0.0,0.0,0.0
2021-10-04 09:00:00,21.33808333333333,21.927,22.798,21.135166666666667,0.0,0.0,0.0,0.0
2021-10-04 10:00:00,21.30025,21.76175,22.768,21.1965,0.0,0.0,0.0,0.0
2021-10-04 11:00:00,21.218416666666663,21.65608333333333,22.770000000000003,21.216416666666667,0.0,0.0,0.0,0.0
2021-10-04 12:00:00,21.13108333333333,21.5985,23.43375,21.1885,0.0,0.0,6000.0,0.0
2021-10-04 13:00:00,21.10333333333333,21.5585,24.444000000000003,21.172916666666666,0.0,0.0,5000.0,0.0
2021-10-04 14:00:00,21.089166666666667,21.5285,25.174,21.159,0.0,0.0,5000.0,0.0
2021-10-04 15:00:00,21.25425,21.5445,25.545166666666667,21.244416666666663,0.0,0.0,5000.0,0.0
2021-10-04 16:00:00,21.42133333333333,21.646166666666662,25.37283333333333,21.24633333333333,0.0,0.0,1000.0,0.0
2021-10-04 17:00:00,21.472916666666663,21.80366666666667,24.64666666666667,21.20475,0.0,0.0,0.0,0.0
2021-10-04 18:00:00,21.401333333333334,21.97283333333333,24.23425,21.302,0.0,0.0,0.0,0.0
2021-10-04 19:00:00,21.359666666666666,22.08225,24.035416666666663,21.26825,0.0,0.0,1000.0,0.0
2021-10-04 20:00:00,21.250416666666663,21.98875,24.225166666666667,21.222416666666668,0.0,0.0,2000.0,0.0
2021-10-04 21:00:00,21.172583333333336,21.783583333333333,24.3775,21.18083333333333,0.0,0.0,3000.0,0.0
2021-10-04 22:00:00,21.119,21.654,24.66108333333333,21.157,0.0,0.0,3000.0,0.0
2021-10-04 23:00:00,21.06341666666667,21.5545,24.88058333333333,21.125166666666665,0.0,0.0,3000.0,0.0
2021-10-05 00:00:00,21.007916666666667,21.47308333333333,25.062416666666667,21.1055,0.0,0.0,4000.0,0.0
2021-10-05 01:00:00,20.96,21.4095,25.191333333333333,21.0615,0.0,0.0,3000.0,0.0
2021-10-05 02:00:00,20.91025,21.3475,25.30658333333333,21.01783333333333,0.0,0.0,3000.0,0.0
2021-10-05 03:00:00,20.864833333333337,21.295916666666667,25.409749999999995,20.964,0.0,0.0,4000.0,0.0
2021-10-05 04:00:00,20.835,21.27608333333333,25.517000000000003,20.938,0.0,0.0,3000.0,0.0
2021-10-05 05:00:00,20.85075,21.2405,25.56758333333333,20.872666666666667,2000.0,0.0,3000.0,0.0
2021-10-05 06:00:00,21.10125,21.170916666666663,25.66275,20.8745,0.0,0.0,3000.0,0.0
2021-10-05 07:00:00,21.110916666666668,21.137,25.676416666666668,20.878500000000003,0.0,0.0,1000.0,0.0
2021-10-05 08:00:00,21.0395,21.19075,25.05633333333333,20.892333333333333,0.0,0.0,0.0,0.0
2021-10-05 09:00:00,21.119166666666665,21.357750000000003,24.68241666666667,20.922,0.0,0.0,0.0,0.0
2021-10-05 10:00:00,21.198666666666668,21.471083333333333,24.50508333333333,20.936,0.0,0.0,0.0,0.0
2021-10-05 11:00:00,21.165,21.55858333333333,24.349833333333336,20.95,0.0,0.0,0.0,0.0
2021-10-05 12:00:00,21.131166666666665,21.53875,24.302,20.954083333333333,0.0,0.0,0.0,0.0
2021-10-05 13:00:00,21.0255,21.481,24.28975,20.930416666666662,0.0,0.0,0.0,0.0
2021-10-05 14:00:00,21.07933333333333,21.441000000000003,24.36425,20.876666666666665,0.0,0.0,0.0,0.0
2021-10-05 15:00:00,21.24833333333333,21.407166666666665,24.266,20.801,0.0,0.0,0.0,0.0
2021-10-05 16:00:00,21.292250000000003,21.437416666666667,24.20791666666667,20.737416666666668,0.0,0.0,1000.0,0.0
2021-10-05 17:00:00,21.2345,21.45908333333333,24.29875,20.68583333333333,0.0,0.0,2000.0,0.0
2021-10-05 18:00:00,21.14475,21.437,24.68825,20.717916666666667,0.0,0.0,2000.0,0.0
2021-10-05 19:00:00,21.065416666666664,21.41525,24.79133333333333,20.72175,0.0,0.0,1000.0,0.0
2021-10-05 20:00:00,20.992,21.4055,24.86375,20.72758333333333,0.0,0.0,2000.0,0.0
2021-10-05 21:00:00,20.89858333333333,21.33575,24.85308333333333,20.67791666666667,0.0,0.0,2000.0,0.0
2021-10-05 22:00:00,20.842916666666667,21.25841666666667,24.88233333333333,20.66,0.0,0.0,2000.0,0.0
2021-10-05 23:00:00,20.78533333333333,21.166666666666664,25.04575,20.646416666666667,0.0,0.0,3000.0,0.0
